0,0,0,0
0.012,0,0,0
0.028,0,0,0
0.045,0,0,0
0.062,0,0,0
0.078,0,0,0
0.095,0,0,0
0.112,0,0,0
0.129,0,0,0
0.145,0,0,0
0.162,0,0,0
0.178,0,0,0
0.195,0,0,0
0.212,0,0,0
0.229,0,0,0
0.245,0,0,0
0.262,0,0,0
0.278,0,0,0
0.295,0,0,0
0.312,0,0,0
0.329,-2.55,-1.525,-0.298
0.345,-1.103,-0.34,-0.764
0.362,-1.215,-0.383,-0.571
0.379,-0.692,-0.983,0.471
0.395,-1.101,-0.983,0.615
0.412,-1.36,-0.074,0.384
0.429,-1.36,-0.074,0.384
0.445,-2.229,0.904,0.143
0.462,-2.609,1.716,0.948
0.479,-2.045,1.646,2.317
0.495,-1.074,2.472,4.019
0.512,-0.88,4.991,5.964
0.529,0.09,6.943,7.435
0.545,1.516,7.877,8.601
0.562,5.168,7.516,9.996
0.579,5.168,7.516,9.996
0.595,6.672,9.207,10.453
0.612,6.672,9.207,10.453
0.629,4.264,10.888,4.014
0.645,3.898,10.225,1.864
0.662,2.478,9.981,0.73
0.679,-7.593,7.534,-3.318
0.695,-7.593,7.534,-3.318
0.712,-12.575,5.286,-3.094
0.729,-19.201,2.357,-1.177
0.745,-22.679,-2.091,1.052
0.761,-21.889,-3.951,3.219
0.778,-18.629,-4.813,4.071
0.795,-16.682,-4.045,4.867
0.81,-12.832,-8.993,7.833
0.827,-7.078,-1.915,10.239
0.844,-7.078,-1.915,10.239
0.86,-1.556,-1.797,7.49
0.876,-1.004,-3.305,6.086
0.892,1.81,-3.026,5.118
0.908,1.81,-3.026,5.118
0.924,8.368,4.805,-0.657
0.94,9.117,7.044,-1.716
0.956,4.144,3.091,2.504
0.972,2.108,1.593,2.272
0.989,-0.463,4.316,1.475
1.005,-1.833,1.947,1.682
1.021,-3.475,0.248,2.508
1.037,-7.039,0.474,2.437
1.053,-4.865,0.935,1.278
1.069,1.644,2.79,0.549
1.086,3.587,2.785,1.419
1.101,4.353,2.328,2.827
1.117,5.733,3.591,2.726
1.134,5.733,3.591,2.726
1.15,7.631,4.185,2.005
1.167,9.665,7.084,1.25
1.184,6.913,6.897,0.381
1.199,2.905,4.998,0.453
1.215,-6.35,0.726,0.826
1.231,-11.425,-3.36,0.742
1.246,-11.994,-3.693,1.189
1.262,-10.403,-4.541,1.43
1.279,-9.748,-5.921,0.701
1.294,-9.423,-5.283,1.315
1.31,-5.425,-3.648,0.266
1.327,-2.764,-3.609,0.835
1.342,1.382,-1.129,2.023
1.358,6.462,2.328,4.598
1.375,6.462,2.328,4.598
1.39,5.818,4.175,3.167
1.406,3.53,3.998,2.679
1.423,2.906,4.103,3.32
1.44,0.952,3.765,3.153
1.455,0.952,3.765,3.153
1.472,0.967,4.326,2.735
1.489,1.374,4.31,2.902
1.505,2.369,3.877,2.063
1.521,2.377,3.411,1.483
1.536,1.773,3.485,1.406
1.551,-1.707,0.855,1.658
1.568,-1.707,0.855,1.658
1.585,-5.768,-0.876,1.551
1.601,-5.741,-3.069,0.729
1.617,-4.547,-3.446,0.764
1.634,-3.648,-4.227,0.798
1.649,-2.424,-4.609,1.058
1.665,-0.189,-1.064,2.332
1.681,0.579,-0.486,2.061
1.697,3.097,0.963,1.798
1.714,5.805,1.625,3.667
1.731,3.346,3.772,0.111
1.747,3.346,3.772,0.111
1.763,3.909,2.231,1.61
1.78,-0.367,0.793,4.048
1.796,1.248,4.676,-0.048
1.812,1.877,2.916,-0.557
1.829,1.598,1.457,0.647
1.845,0.426,0.8,3.217
1.861,-0.515,0.394,2.972
1.877,-1.573,1.134,1.59
1.893,-2.066,0.185,1.94
1.909,-1.543,-0.096,2.678
1.925,0.086,-1.321,2.01
1.941,-0.647,-2.362,1.973
1.957,-1.403,-2.333,2.057
1.973,-2.484,-1.931,1.73
1.989,-0.927,0.562,0.378
2.005,-1.407,0.848,0.771
2.021,-0.864,0.799,0.944
2.037,0.305,0.313,0.943
2.053,5.444,1.705,0.952
2.07,7.783,4.049,1.778
2.086,5.562,5.575,2.697
2.101,3.538,3.842,0.762
2.117,2.009,-1.001,0.89
2.134,0.865,-2.506,2.036
2.15,0.322,-3,1.562
2.167,1.078,-2.479,1.762
2.184,1.382,-2.07,1.843
2.199,-1.736,-1.456,1.463
2.215,-2.2,-1.195,0.475
2.231,-2.037,-0.231,0.96
2.246,-0.538,-0.38,3.688
2.262,0.481,-0.717,1.471
2.279,1.592,-4.042,1.77
2.295,3.241,-4.181,2.723
2.311,2.658,-5.319,0.949
2.328,2.428,-5.035,0.633
2.344,2.173,-4.851,0.723
2.36,2.695,-6.317,0.67
2.377,2.778,-6.342,0.232
2.392,2.814,-3.879,-0.399
2.408,2.804,-5.687,-1.329
2.425,1.972,-5.932,0.426
2.441,-3.208,11.452,0.436
2.457,7.14,23.682,-10.115
2.474,7.401,13.583,-5.852
2.49,3.418,2.492,-0.802
2.505,1.811,-2.795,2.686
2.522,1.84,-3.894,3.002
2.538,2.465,-0.633,3.29
2.554,4.17,3.872,4.378
2.571,5.562,1.702,11.011
2.587,4.552,0.283,6.532
2.603,2.491,-0.308,1.835
2.62,2.031,-0.147,1.074
2.636,1.662,-0.213,0.479
2.652,1.654,0.218,0.517
2.668,1.347,0.473,0.587
2.684,1.196,0.407,0.567
2.7,1.035,0.032,0.536
2.717,0.956,0.001,0.348
2.734,0.811,0.108,0.161
2.749,0.761,0.111,0.123
2.766,0.761,0.111,0.123
2.782,0.921,0.098,0.242
2.797,1.222,0.203,0.324
2.814,1.477,0.109,0.364
2.829,1.486,-0.056,0.301
2.845,1.641,0.076,0.293
2.861,1.818,0.454,0.836
2.877,1.818,0.454,0.836
2.892,1.687,0.381,1.017
2.908,1.711,0.322,1.333
2.925,1.696,0.143,1.615
2.94,1.673,0.034,1.708
